eta_minutes,label,commute_type,arrival_time,departure_time,traffic_level,distance,roads,instructions,origin,destination,polyline
27,Reliable,car,2026-04-11T23:22:08-04:00,2026-04-11T22:54:51-04:00,low,23.3,"['Edgewood Ave SE', 'James Wendell George Pkwy', 'Edgewood Ave NE', 'State Capitol SW', 'South Expy', 'Courtland St SE', 'Washington St SW', 'Peachtree Center Ave SE', 'Pulliam St SW', 'Honorable Rodney Mims Cook Memorial Hwy', 'Hurt Plz SE', 'Hudson Bridge Rd', 'Exchange Pl SE']","['Head toward Peachtree Center Ave SE on Hurt Plz SE. Go for 45 m.', 'Turn left onto Peachtree Center Ave SE. Go for 87 m.', 'Turn right onto Edgewood Ave SE. Go for 195 m.', 'Turn right onto Courtland St SE. Go for 626 m.', 'Continue on Washington St SW. Go for 883 m.', 'Continue on Pulliam St SW. Go for 395 m.', 'Take left ramp onto I-75 S/I-85 S (Honorable Rodney Mims Cook Memorial Hwy). Go for 5.4 km.', 'Continue on I-75 S toward International Terminal/Macon. Go for 24.7 km.', 'Keep right onto I-75 S. Go for 4.4 km.', 'Take exit 224 toward Eagles Landing Parkway/Hudson Bridge Road onto Hudson Bridge Rd. Go for 595 m.', 'Turn right. Go for 99 m.', 'Turn left. Go for 36 m.', 'Turn right. Go for 56 m.', 'Arrive at your destination.']","(33.75405, -84.3873801)","(33.5061366, -84.2351111)",BGk8lsgCnjz-gF7L8a8f4cwHoGT0UA4mBAgKTk_BrTjS_dnfjN3NjSrT_JnLzKnLzZvbjS3SnVvWnLvMrJ7GzF3DvHzFnQvMjSjN3c7VrOnLnQvMjSrO3X3SvMrJjDvC3mBnfnazU7Q3N7G_E_JjI7V7Q_TnQvM_J_O3Njc_T_O7LzPjNriBjSzUnGvMvCvW7BjSUjXoBzK8B7V4DjrB8GzKoBvM8B7GU7Q8B7QUjNA_lCTvRwCrlCA7kBTrJUvRUzUoB_nBAjXoB7VwCjcoBvhD3DnaA7GA3wB7BnavC_TjDnV_E7VzFriBzK3SzFrqCnarxB7QzUzF_TrEnzBnGjNnBzwCjI3rBnGrT3D7QrErOrE_OnG3crOnuBnf3qEzpDjrBnfrsB_djIzF7a_O_nBrTrTjIv3CnfvbvMnVnLnV3N7a_T7sC79B_T3NnpB_Y7LnGnpBjSnkBrO7kB3Nj9C_iB7sCjcnkB7LvWnGnuBnLnQjDvlBnGriB3DvqBjDvyCvCzZnBvbvC7VvCvqB7GrvC7Q3uCzP7fzFrT7BrdnB3ckDjS4DnLkDvgBkNzZsO3csT3XkS_8DwhDn7CgmC_5CslC3mBoarO4IrTgKzZ0KnfsJ_T4DvR8BjNoB_2BTzmCnB_dU_Y8B_gCwHjmBoG36G0jBn7CsOjrBgFjmBwC_nBUniC7BvRnBvWTvtC3D7pBnBvoCUvMUvWkDjX0FnakI3kCoa7iCoVvRoGnvD4rBvjC0ZztBsOnV0F7uBgKvRkDzjBsEjmBkDvW8BzoBwCzyBT3SnB3rB_E_iBzFzZ_EjrBnLvoCnVjI3Dj1B_TjN_EnQ_ErmE7uBnoEnuBj9CvgBv0BrT_d7L36BrYzrC_dv8CvgB_iBjI7V3IzjBjNnsCnariBnLvgB3I_YrE_T7B_nB7BvbAvqBwC3XwCnsC8LnL8BnL8BzmC0Kjc4DjkCsJ_O8BvgBsEnzB0FvkEoL39CoL_7BwHjiDsOriBoG_sBkInV4DvgBkIn0DofjuCwWnLkDzZwHjN4D_qH0hC35EkrBzZwHjhBsJriBgK3wB8Qv5B4XriB8Q_xB8azmCgoBvqG0zDn0DkkC3mBsYr-CsgCv2KwyH3IoG7uBwgBjmBwWrYkNvRkIrxBgU3cwMjS4IrY4NnLkIrEkDnkBgjBvRsTvbwlBnLwRnLgUjNwbrJ4X3IgZnGsT3csoDnuBglFvgBo0D3colD_J0jBrJkhBjX0wC3X4zCjX44CvM41B3gE80S3c4lErE0UzKgyBnuBw0G7qD0vPnfkvEvH0ezPo4BnQ0yB3IsYrJsYjX41B7L0Z_YsxB7L8VrY8pBvlB46B7pB89BrOoVnpB08B_0C4gEj4CojE3N0UzyB0rC76Fo5IrsBgmCjmBk_BzoB4kC_7Bs-Cnfg3B3SgjBzUokBzmCg4DniCovDjmBoiCjSsiB7QsiBjSgoBrOgjB_YslCjjFszP_xB07EzZsqC7pBguD_qCk8FrxBs8Dz3B0sE3IwWjDwHrqC86F_gC4-E7sCkhGzK8a_O4hBrO4hBjNsiBrOwlBnL8fjI8VjXs7B3SkrBvH0P_O0Z7G0K3N4SnQwRnLwM7V0U7QsO_lC03BvgBoajS4NjmBsiBvR8Lz3B4rB3xDolD7uBouBv1Dk2DrsBwqB_8D42DnsCsqCr5C44Cz3Bg3B3rBkrB7pLwlL_T0U_9Fw7F36Bs7BzyB03B_dgjBvbsiBjmBgyBvgB0oBzegoB_lC06C_T0Zz4Dg7EjrB03Bv-Bg3BjSsOvbkSnQ0KnQ0K_7BsnB7LTrEnB_E3D3Sn4B7G7V7BzFgFnQkDrEsiB_O3DnLjDnL6dxM
33,Reliable,car,2026-04-11T23:27:40-04:00,2026-04-11T22:54:51-04:00,low,22.6,"['Edgewood Ave SE', 'James Wendell George Pkwy', 'University Ave SW', 'Edgewood Ave NE', 'State Capitol SW', 'Moreland Ave SE', 'South Expy', 'Courtland St SE', 'McDonough Blvd SE', 'Moreland Ave', 'Washington St SW', 'Peachtree Center Ave SE', 'Pulliam St SW', 'Honorable Rodney Mims Cook Memorial Hwy', 'Hurt Plz SE', 'Hudson Bridge Rd', 'Exchange Pl SE', 'Terrell Starr Pkwy']","['Head toward Peachtree Center Ave SE on Hurt Plz SE. Go for 45 m.', 'Turn left onto Peachtree Center Ave SE. Go for 87 m.', 'Turn right onto Edgewood Ave SE. Go for 195 m.', 'Turn right onto Courtland St SE. Go for 626 m.', 'Continue on Washington St SW. Go for 883 m.', 'Continue on Pulliam St SW. Go for 395 m.', 'Take left ramp onto I-75 S/I-85 S (Honorable Rodney Mims Cook Memorial Hwy). Go for 1.6 km.', 'Take exit 244 toward University Avenue. Go for 343 m.', 'Turn slightly right toward University Ave SW. Go for 26 m.', 'Turn sharp left onto University Ave SW. Go for 710 m.', 'Turn right onto McDonough Blvd SE (GA-54 S). Go for 440 m.', 'Continue on McDonough Blvd SE (GA-42-SPUR) toward GA-54. Go for 3.8 km.', 'Turn right onto Moreland Ave SE (US-23). Go for 4.3 km.', 'Turn left and take ramp onto I-675 S (Terrell Starr Pkwy) toward Macon. Go for 18.0 km.', 'Continue on I-75 S. Go for 4.0 km.', 'Take exit 224 toward Eagles Landing Parkway/Hudson Bridge Road onto Hudson Bridge Rd. Go for 595 m.', 'Turn right. Go for 99 m.', 'Turn left. Go for 36 m.', 'Turn right. Go for 56 m.', 'Arrive at your destination.']","(33.75405, -84.3873801)","(33.5061366, -84.2351111)",BGk8lsgCnjz-gF7L8a8f4cwHoGT0UA4mBAgKTk_BrTjS_dnfjN3NjSrT_JnLzKnLzZvbjS3SnVvWnLvMrJ7GzF3DvHzFnQvMjSjN3c7VrOnLnQvMjSrO3X3SvMrJjDvC3mBnfnazU7Q3N7G_E_JjI7V7Q_TnQvM_J_O3Njc_T_O7LzPjNriBjSzUnGvMvCvW7BjSUjXoBzK8B7V4DjrB8GzKoBvM8B7GU7Q8B7QUjNA_lCTvRwCrlCA7kBTrJUvRUzUoB_nBAjXoB7VwCjcoBvhD3DnaA7GA3wB7BnavC_TjDnV_E7VzFriBzK3SzFrqCnarxB7QzUzF_TrEnzBnGjNnBzwCjIn4B3S_TvHzUrJrdjS7LnL7VzU3DvC3DnB7GoBjDzFnGjITwjCAwRA8LTwqBrE4IvHgPjI8Q3DkIvMsY3Noa_E8LrE0K_E8QnB0PT4X0F0UgKwb4I0UoLoawHwMsJoQvCsJ3DkNjI0KvH8L7BwCvW0evH4IrE4DvH8GrJoL3SkXjIkN3NwRrJoL3NoQrJ0K3N4SzKoQjN0UzFgKnGoLvM8VrOsY7Q4hB7Lo9B3DoV3Iw0BjI0yB_E8arJsY3N8f7G4N7LoazjBk6B_E4IrxBgwCv5B06C_O4XjI8aToLA0tBAsTAgeTwlBTk6BA8pBA4SnB4cjDsOzF8Qjck4CjDgKjD0K3D8L7V0yBrEgKvH4Nnfw0BjIkN7f8zB7zB8xCjNoVrJwM3NsTrO0UvlB41BjI8Lj_BwtC3wBouBzUoVjS8QjNgPnVoazPoV3IoL7L4SjIwM7GgPnGkNrJ4SnG0PjDgK3DoLnGsTvH8frEwbrEopBT41BUgZAwgBA4SnGwMnG4I_EwC_OkDjNA7kBA_7BUvCAjIA7GAzZAvRA3NAjSTrlCAr2B7Br-CzF7QTnQAjNArnB4DnQ8B3DUnf4D3X8BnGU7L3D7kBU7fTjSA3cAjSAz6CoB7fA_xBoB7VoB3XwCzUkD7GU_T4D_OwCv0B8LzZwHnkB8Lrd0K_TwHzUsJ3ckNrY8LjS4IvM0Fjc4NvgB0PvgBoQrdsO3IsEnVgKj_B0e7Q4IrnBsTvhDwvBnQkIvb4N7xCgoB7kB0Uvb0P7pBof_iB4c_YoVzK4IzZkSzPgKrO4InGkD7G4Dna0KrO4D3hB8GjXkD_JU7pBgFnQ8B7f4DjcwCrnB0F0FsOoGkNwb46B0K8f0FsY8BkNwConCoBsO0Fsd4DgPgFsOoGgPwHsOwH4N8a0oBkSwb0P4c8GgPwM8f8Q46BoVgwC8BkI8B4NoBoQTsd3D8V3DsOvCkIrJ8V7L0UzKsO_OgPzekXzU4NnzBkcvvB8ariBkSnfgP7V4InfgK3cwHzoBoGzjBwC3cTzjBjDn4BnGzZjDjuCjIniCjIjcvCrnB7B7kBUzoB4D_dgF_d0FnpBoLriBwMna0KvvB4XjSgKnQgKjcsTriBoa7QsO3hB8fvRwR_2Bg3B30E83E7lIgpIn2M87M3wBsxB3xI42I72Cs5CzUsTvW0PnVwRjXoQ3wB0jBrJ0F3hBwRvlBgP_iB8LrY8GvboG3mB8G3_QwyC_lCwMzgFoav2FgejX4DnQwCzPwCz_C0Pjc8BzKwC_sBoG3c0FzewH7a0KnasJrd8LvW0KvW8LnagPzPgKjcsT3hBoard0Zjckc7kBopBnawgBzPoVvlBkwBjnD09D7oE8rFrTkXjX0Z3cwbzUkSzU8Q_TgPrY8Q_sB8avb4N_dwMvW4IjrBkNjmBsJ_gH4wB_xB8LjcwHv8CwbzoB4N7uB8QnkBkSj1B4XjrB0U7sC4mBnVsJz8B0e32D08BnqDozBjNoG7GkD7sCwgBztBoQrwJkiDjvEwvBrxBwRzjBkN3iDsnB7vDouBjrBwRvjCkcnV4IjhB8L3wBsO7fkIrsB4IrOwCzyBoG3mBkD7aUjhBTvRU_Y7B3SjDjwBnGnfzFnQ3DnGnB7QrErsBvMnfrJv8Cjc3rBvM7VrE3cjDzUnBzjBwCzUsE3XoG3cgKnQ8Gjc0PnQ0KzZ0UrYkXrJgKjX4c_jD8jE3mB8uBzekhB7agZzU8V7Vwb7uBouBv1Dk2DrsBwqB_8D42DnsCsqCr5C44Cz3Bg3B3rBkrB7pLwlL_T0U_9Fw7F36Bs7BzyB03B_dgjBvbsiBjmBgyBvgB0oBzegoB_lC06C_T0Zz4Dg7EjrB03Bv-Bg3BjSsOvbkSnQ0KnQ0K_7BsnB7LTrEnB_E3D3Sn4B7G7V7BzFgFnQkDrEsiB_O3DnLjDnL6dxM
